                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.3399,                 12.913,                 8.3882,                0.00278,                0.52258,                0.00251,                0.00113,                 5.6951,                 12.117,                  8.186,             0.00064762,             0.00064762,             0.00064762
                      2,                  5.464,                 10.887,                 7.6182,                0.00271,                0.50968,                 0.0027,                0.00102,                  5.931,                 12.424,                  7.391,              0.0013117,              0.0013117,              0.0013117
                      3,                 5.0701,                 9.0786,                 6.5836,                0.00285,                0.53548,                0.01494,                0.00427,                  6.069,                 13.946,                 8.4171,              0.0019731,              0.0019731,              0.0019731
                      4,                 4.5251,                 7.4496,                 5.7923,                0.04985,                0.07742,                0.04043,                0.01899,                 4.2952,                 12.285,                 6.3588,              0.0019881,              0.0019881,              0.0019881
                      5,                  4.282,                 6.3344,                 5.3655,                0.10868,                0.11613,                0.03664,                0.01362,                 4.5987,                 7.6042,                 5.9526,              0.0019842,              0.0019842,              0.0019842
                      6,                 3.8885,                 5.3777,                 4.9959,                0.32835,                0.15484,                0.12409,                0.07183,                 4.4883,                 6.2085,                 6.4107,              0.0019802,              0.0019802,              0.0019802
                      7,                 3.5896,                 4.7558,                 4.7787,                0.27384,                0.24087,                0.20754,                0.08831,                 4.3212,                 5.6158,                 5.7987,              0.0019762,              0.0019762,              0.0019762
                      8,                 3.4786,                 4.3724,                 4.5935,                0.31638,                0.35484,                0.24087,                  0.111,                 4.3514,                 6.1653,                 5.7397,              0.0019723,              0.0019723,              0.0019723
                      9,                 3.2348,                 4.0063,                 4.3831,                0.38018,                0.52258,                0.39186,                 0.1564,                 3.8183,                 5.3341,                 5.2565,              0.0019683,              0.0019683,              0.0019683
                     10,                 2.9346,                 3.6078,                 4.1589,                0.63474,                0.41935,                 0.4497,                0.24826,                  3.747,                 3.9169,                 5.2212,              0.0019644,              0.0019644,              0.0019644
                     11,                 2.8475,                 3.5139,                 4.0621,                0.67929,                0.50561,                0.54787,                0.29274,                 3.2459,                 4.4957,                 4.5723,              0.0019604,              0.0019604,              0.0019604
                     12,                  2.766,                 3.3211,                 3.9794,                0.64905,                0.52903,                0.56211,                0.35326,                 3.1045,                 4.0483,                  4.478,              0.0019564,              0.0019564,              0.0019564
                     13,                 2.4806,                 2.9297,                 3.7093,                0.75749,                 0.5871,                 0.6427,                0.42935,                 3.0155,                 3.4681,                 4.2631,              0.0019525,              0.0019525,              0.0019525
                     14,                 2.3427,                 2.7997,                 3.5934,                0.68586,                0.58065,                0.61871,                0.39844,                  2.831,                 3.8886,                 4.3383,              0.0019485,              0.0019485,              0.0019485
                     15,                 2.2013,                  2.591,                 3.4615,                0.81334,                0.52258,                0.62962,                0.37871,                 3.2933,                 3.7236,                 4.6474,              0.0019446,              0.0019446,              0.0019446
                     16,                 2.1681,                 2.4345,                  3.417,                0.71177,                0.57419,                0.63277,                0.43435,                 2.7718,                  4.246,                 4.3974,              0.0019406,              0.0019406,              0.0019406
                     17,                 1.9872,                 2.2943,                 3.3198,                0.66812,                    0.6,                0.64672,                0.48477,                 2.3517,                 3.7592,                 3.8786,              0.0019366,              0.0019366,              0.0019366
                     18,                 2.0355,                 2.4134,                 3.3071,                0.88341,                0.43995,                0.58463,                0.44136,                 2.5101,                 3.6016,                 3.8035,              0.0019327,              0.0019327,              0.0019327
                     19,                 1.8593,                 2.2055,                  3.168,                0.71368,                 0.5307,                0.60695,                0.43795,                 2.4016,                 3.6292,                 3.8795,              0.0019287,              0.0019287,              0.0019287
                     20,                 1.8757,                  2.136,                 3.1251,                0.70947,                0.58295,                0.66496,                0.49402,                 2.4471,                 3.3108,                 4.0398,              0.0019248,              0.0019248,              0.0019248
                     21,                 1.8794,                 2.2111,                  3.125,                 0.6631,                0.53548,                0.59559,                0.44771,                 2.7976,                 3.3919,                 4.0252,              0.0019208,              0.0019208,              0.0019208
                     22,                 1.8085,                 2.0955,                 3.0779,                0.75546,                0.51613,                 0.6475,                0.50191,                 2.1942,                  2.731,                 3.6755,              0.0019168,              0.0019168,              0.0019168
                     23,                 1.7356,                 1.9497,                 3.0013,                0.84904,                  0.508,                0.64756,                0.49972,                 2.5861,                 3.0781,                  4.016,              0.0019129,              0.0019129,              0.0019129
                     24,                 1.7123,                 1.9105,                 2.9873,                0.79796,                0.56129,                0.67989,                0.54397,                 2.5025,                 3.0846,                 3.8823,              0.0019089,              0.0019089,              0.0019089
                     25,                 1.5743,                 1.7051,                 2.8566,                0.71881,                0.62581,                0.69041,                0.52273,                 2.3632,                  2.967,                 3.8178,               0.001905,               0.001905,               0.001905
                     26,                 1.5438,                 1.8212,                 2.8587,                0.82393,                0.58065,                0.71083,                0.53746,                 1.9997,                 2.6819,                 3.3618,               0.001901,               0.001901,               0.001901
                     27,                 1.5522,                 1.7826,                 2.8011,                0.77617,                0.60404,                0.70548,                0.54927,                 2.0011,                 3.2378,                 3.5593,               0.001897,               0.001897,               0.001897
                     28,                 1.4705,                 1.6763,                 2.7381,                 0.6342,                0.58166,                0.66422,                0.50193,                 1.7636,                 2.5326,                 3.2914,              0.0018931,              0.0018931,              0.0018931
                     29,                    1.5,                 1.6967,                 2.7549,                0.84545,                0.52941,                0.68057,                0.53768,                 2.0038,                 3.0663,                  3.419,              0.0018891,              0.0018891,              0.0018891
                     30,                 1.5125,                 1.7473,                 2.7997,                 0.7879,                0.58065,                0.68407,                0.52787,                  2.101,                 2.9672,                 3.3664,              0.0018852,              0.0018852,              0.0018852
                     31,                 1.4762,                 1.6868,                 2.7301,                0.89635,                0.55795,                0.70992,                0.53531,                  2.022,                 2.5534,                 3.2768,              0.0018812,              0.0018812,              0.0018812
                     32,                 1.4809,                 1.6346,                 2.7221,                0.88017,                0.56774,                 0.7199,                0.58931,                 2.0977,                  2.974,                 3.4801,              0.0018772,              0.0018772,              0.0018772
                     33,                 1.4629,                 1.7343,                 2.7105,                0.78214,                0.67172,                0.73398,                0.58456,                 1.9915,                 2.9058,                 3.2867,              0.0018733,              0.0018733,              0.0018733
                     34,                 1.4771,                 1.6227,                 2.7204,                0.74483,                0.56774,                0.69405,                0.59189,                 1.6596,                 2.3354,                 2.9996,              0.0018693,              0.0018693,              0.0018693
                     35,                 1.4151,                  1.572,                 2.6698,                0.88538,                0.54818,                0.71753,                0.58625,                 1.8548,                 2.4572,                 3.1014,              0.0018654,              0.0018654,              0.0018654
                     36,                 1.3364,                 1.4377,                 2.5721,                0.84165,                0.51439,                0.64659,                 0.5556,                 2.0709,                 3.1504,                 3.4774,              0.0018614,              0.0018614,              0.0018614
                     37,                  1.445,                 1.5667,                 2.6625,                0.85606,                0.54839,                0.71525,                0.57612,                 1.7449,                 2.5306,                 3.0588,              0.0018574,              0.0018574,              0.0018574
                     38,                 1.3208,                 1.4642,                 2.5796,                0.74924,                0.61686,                 0.7258,                0.59172,                   1.72,                 2.3878,                 3.0994,              0.0018535,              0.0018535,              0.0018535
                     39,                 1.3558,                 1.5166,                 2.5938,                0.83189,                0.54275,                0.72137,                0.57258,                 2.0348,                 2.4832,                 3.1924,              0.0018495,              0.0018495,              0.0018495
